City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
thompson,75,CA,1624386608,36,55.7435,-97.8558,18.0,4.12
busselton,100,AU,1624386868,78,-33.65,115.3333,8.94,3.94
taybad,0,IR,1624386869,17,34.74,60.7756,27.71,9.32
carnarvon,0,AU,1624386870,55,-24.8667,113.6333,9.04,4.63
kapaa,75,US,1624386872,80,22.0752,-159.319,26.99,0.45
punta arenas,75,CL,1624386873,69,-53.15,-70.9167,2.06,2.06
cabedelo,20,BR,1624386874,65,-6.9811,-34.8339,29.0,5.14
rikitea,14,PF,1624386876,80,-23.1203,-134.9692,24.24,4.99
opuwo,0,NA,1624386728,32,-18.0607,13.84,16.67,3.78
hobart,100,AU,1624386605,93,-42.8794,147.3294,6.26,1.79
nerchinskiy zavod,28,RU,1624386880,86,51.3088,119.61,13.01,0.83
brattleboro,100,US,1624386882,93,42.8509,-72.5579,19.86,0.45
saldanha,80,ZA,1624386883,84,-33.0117,17.9442,14.03,3.97
jamestown,10,US,1624386884,62,42.097,-79.2353,16.28,4.02
te anau,13,NZ,1624386886,92,-45.4167,167.7167,2.71,0.1
cape town,40,ZA,1624386847,82,-33.9258,18.4232,16.05,3.13
atuona,62,PF,1624386888,78,-9.8,-139.0333,25.82,3.78
khromtau,26,KZ,1624386889,48,50.2503,58.4347,23.34,2.77
bethel,90,US,1624386891,88,41.3712,-73.414,18.2,0.89
northam,5,GB,1624386892,75,51.0333,-4.2167,17.49,5.15
butaritari,90,KI,1624386894,69,3.0707,172.7902,28.29,3.21
hermanus,62,ZA,1624386895,75,-34.4187,19.2345,16.0,9.48
moyale,99,KE,1624386896,65,3.5167,39.0584,20.33,2.71
okhotsk,96,RU,1624386898,88,59.3833,143.3,7.5,1.21
hilo,75,US,1624386630,78,19.7297,-155.09,24.0,1.54
kruisfontein,2,ZA,1624386901,77,-34.0033,24.7314,13.82,1.51
port elizabeth,40,ZA,1624386832,88,-33.918,25.5701,15.05,3.09
mataura,100,NZ,1624386904,96,-46.1927,168.8643,5.82,0.62
port hardy,90,CA,1624386905,82,50.6996,-127.4199,14.0,3.6
castro,98,BR,1624386907,83,-24.7911,-50.0119,16.56,0.89
albany,100,US,1624386624,86,42.6001,-73.9662,17.72,4.34
athens,20,GR,1624386791,56,37.9795,23.7162,30.13,0.45
amahai,89,ID,1624386910,87,-3.3333,128.9167,25.0,1.72
nikolskoye,93,RU,1624386911,68,59.7035,30.7861,28.94,2.71
rocha,44,UY,1624386913,70,-34.4833,-54.3333,14.47,3.72
naantali,0,FI,1624386915,65,60.4674,22.0243,25.0,2.06
dikson,99,RU,1624386917,93,73.5069,80.5464,-0.2,6.43
orlik,67,RU,1624386918,87,52.5178,99.825,10.27,0.26
ushuaia,20,AR,1624386919,46,-54.8,-68.3,7.81,8.23
saint-philippe,62,RE,1624386921,79,-21.3585,55.7679,17.77,3.81
ust-uda,100,RU,1624386795,74,54.1742,103.0304,11.17,0.97
viedma,100,AR,1624386924,59,-40.8135,-62.9967,13.78,6.3
